dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless | unitless | degrees_north | degrees_east | meters | unitless | ISO_8601 | ISO_8601
#field_type: string | string | float | float | float | string | datetime | datetime
Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IU|KEV|69.7565|27.0035|100.0|Kevo, Finland|2008-09-11T00:00:00Z|2599-12-31T23:59:59Z
IU|KIEV|50.7012|29.2242|180.0|Kiev, Ukraine|2009-07-30T00:00:00Z|2599-12-31T23:59:59Z
IU|KIP|21.42|-158.0112|110.0|Kipapa, Hawaii, USA|2010-08-18T00:00:00Z|2599-12-31T23:59:59Z
IU|KMBO|-1.1271|37.2525|1950.0|Kilima Mbogo, Kenya|2010-04-15T00:00:00Z|2599-12-31T23:59:59Z
IU|KNTN|-2.7744|-171.7186|20.0|Kanton, Kiritibati|2009-05-11T00:00:00Z|2599-12-31T23:59:59Z
IU|KONO|59.6491|9.5982|216.0|Kongsberg, Norway|2009-09-12T15:02:42Z|2599-12-31T23:59:59Z
IU|KOWA|14.4967|-4.014|321.0|Kowa, Mali|2011-05-27T00:00:00Z|2599-12-31T23:59:59Z
IU|LSZ|-15.2779|28.1882|1200.0|Lusaka, Zambia|2008-09-08T00:00:00Z|2599-12-31T23:59:59Z
IU|LVC|-22.6127|-68.9111|2960.0|Limon Verde, Chile|2009-04-10T00:00:00Z|2599-12-31T23:59:59Z
IU|MA2|59.5756|150.77|337.0|Magadan, Russia|2010-07-20T00:00:00Z|2599-12-31T23:59:59Z
IU|MAJO|36.54567|138.20406|405.0|Matsushiro, Japan|2009-11-07T12:00:00Z|2599-12-31T23:59:59Z
IU|MAKZ|46.808|81.977|600.0|Makanchi, Kazakhstan|2010-09-10T00:00:00Z|2599-12-31T23:59:59Z
IU|MBWA|-21.159|119.7313|190.0|Marble Bar, Western Australia|2011-05-09T07:00:00Z|2599-12-31T23:59:59Z
IU|MIDW|28.2156|-177.3698|20.0|Midway Island, USA|2009-07-30T00:00:00Z|2013-07-28T03:00:00Z
IU|MSKU|-1.6557|13.6116|312.0|Masuku, Gabon|2009-07-30T00:00:00Z|2599-12-31T23:59:59Z
IU|NWAO|-32.9277|117.239|380.0|Narrogin, Australia|2011-04-30T02:00:00Z|2599-12-31T23:59:59Z
IU|OTAV|0.2376|-78.4508|3510.0|Otavalo, Ecuador|2009-04-01T00:00:00Z|2599-12-31T23:59:59Z
IU|PAB|39.5446|-4.3499|950.0|San Pablo, Spain|2009-08-14T00:00:00Z|2599-12-31T23:59:59Z
IU|PAYG|-0.6742|-90.2861|270.0|Puerto Ayora, Galapagos Islands|2010-05-05T00:00:00Z|2599-12-31T23:59:59Z
IU|PET|53.0233|158.6499|110.0|Petropavlovsk, Russia|2009-04-21T00:00:00Z|2014-08-05T23:00:00Z
IU|PMG|-9.4047|147.1597|90.0|Port Moresby, New Guinea|2010-04-16T00:00:00Z|2599-12-31T23:59:59Z
IU|PMSA|-64.7744|-64.0489|40.0|Palmer Station, Antarctica|2009-10-01T00:00:00Z|2012-02-19T00:00:00Z
IU|POHA|19.7573|-155.5326|1990.0|Pohakuloa, Hawaii, USA|2011-01-20T00:00:00Z|2599-12-31T23:59:59Z
IU|PTCN|-25.0713|-130.0953|220.0|Pitcairn Island, South Pacific|1996-12-29T00:00:00Z|2014-11-30T00:00:00Z
IU|PTGA|-0.7308|-59.9666|237.0|Pitinga, Brazil|2009-11-06T12:00:00Z|2599-12-31T23:59:59Z
IU|QSPA|-89.9289|144.4382|2850.0|South Pole Remote Earth Science Observatory (Quiet Zone)|2011-01-18T00:00:00Z|2599-12-31T23:59:59Z
IU|RAO|-29.245|-177.929|60.0|Raoul, Kermadec Islands|2009-08-09T00:00:00Z|2013-05-17T21:00:00Z
IU|RAR|-21.2125|-159.7733|28.0|Rarotonga, Cook Islands|2010-03-02T00:00:00Z|2599-12-31T23:59:59Z
IU|RCBR|-5.8274|-35.9014|400.0|Riachuelo, Brazil|2009-07-29T00:00:00Z|2599-12-31T23:59:59Z
IU|RSSD|44.1212|-104.0359|2090.0|Black Hills, South Dakota, USA|2009-09-09T00:00:00Z|2599-12-31T23:59:59Z
IU|SAML|-8.9489|-63.1831|120.0|Samuel, Brazil|2009-11-14T00:00:00Z|2599-12-31T23:59:59Z
IU|SBA|-77.8492|166.7572|50.0|Scott Base, Antarctica|2009-08-09T00:00:00Z|2014-12-04T00:00:00Z
